City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,quellon,-43.1167,-73.6167,11.53,70,100,2.73,CL,1702069463
255,ishinomaki,38.4167,141.3,8.71,75,5,3.0,JP,1702069323
256,vorkuta,67.5,64.0,-23.37,99,100,2.01,RU,1702069464
257,mount gambier,-37.8333,140.7667,13.36,98,100,1.69,AU,1702069464
258,pembroke,45.8168,-77.1162,-3.01,90,100,3.02,CA,1702069240
259,menasha,44.2022,-88.4465,13.05,74,40,6.17,US,1702069465
260,port hedland,-20.3167,118.5667,29.03,34,6,4.63,AU,1702069360
261,tionk essil,12.7856,-16.5217,25.96,67,34,4.23,SN,1702069466
262,kuta,-8.7233,115.1723,26.97,88,20,2.24,ID,1702069466
263,aswan,24.0934,32.907,20.61,30,0,4.63,EG,1702069300
264,port alfred,-33.5906,26.891,19.54,96,96,0.45,ZA,1702069467
265,qingyuan,23.7,113.0333,18.99,85,55,1.11,CN,1702069467
266,belabo,4.9333,13.3,22.56,78,96,0.57,CM,1702069468
267,saudarkrokur,65.7461,-19.6394,-6.76,55,0,2.97,IS,1702069468
268,tura,25.5198,90.2201,14.98,92,9,2.07,IN,1702069468
269,pooler,32.1155,-81.2471,20.04,58,75,4.12,US,1702069468
270,nieuw amsterdam,5.8833,-55.0833,28.34,80,40,3.09,SR,1702069469
271,carutapera,-1.195,-46.02,28.07,77,93,5.99,BR,1702069469
272,magadan,59.5667,150.8,-11.97,89,100,1.92,RU,1702069470
273,vilyuysk,63.7553,121.6247,-31.5,98,99,2.32,RU,1702069470
274,the pas,53.8251,-101.2541,-6.99,86,0,4.63,CA,1702069240
275,cannonvale,-20.2833,148.7,26.66,64,79,4.07,AU,1702069471
276,porto novo,6.4965,2.6036,28.9,77,58,3.81,BJ,1702069383
277,wasagu,11.3764,5.7954,23.19,17,63,2.66,NG,1702069471
278,kalmunai,7.4167,81.8167,24.77,92,100,2.37,LK,1702069471
279,almyros,39.1822,22.7594,9.61,66,75,3.6,GR,1702069472
280,basco,20.4487,121.9702,25.99,83,29,6.33,PH,1702069472
281,saint-philippe,-21.3585,55.7679,25.77,88,93,1.26,RE,1702069472
282,praia da vitoria,38.7333,-27.0667,20.14,88,75,9.28,PT,1702069473
283,prince rupert,54.3161,-130.3201,4.83,84,75,7.2,CA,1702069177
284,haiku-pauwela,20.9219,-156.3051,27.32,60,20,4.63,US,1702069473
285,ancud,-41.8697,-73.8203,10.83,77,23,8.76,CL,1702069473
286,tolanaro,-25.0319,46.9987,24.04,88,40,8.23,MG,1702069474
287,dazhou,31.2159,107.5009,11.92,73,67,1.03,CN,1702069474
288,luwuk,-0.9516,122.7875,26.19,82,100,1.76,ID,1702069474
289,bayanhongor,46.7167,100.1167,-22.95,79,15,2.15,MN,1702069474
290,taunggyi,20.7833,97.0333,15.2,97,64,1.96,MM,1702069475
291,caconda,-13.7333,15.0667,16.55,88,74,1.3,AO,1702069475
292,ciudad lazaro cardenas,17.9583,-102.2,29.2,58,6,2.95,MX,1702069419
293,carnarvon,-24.8667,113.6333,23.52,53,0,13.24,AU,1702069476
294,nantucket,41.2835,-70.0995,5.08,71,0,0.0,US,1702069429
295,geraldton,-28.7667,114.6,19.23,45,0,8.23,AU,1702069476
296,ghat,24.9647,10.1728,16.86,32,86,1.63,LY,1702069344
297,lucas,41.6501,-83.6666,13.08,58,75,5.66,US,1702069477
298,maragogi,-9.0122,-35.2225,26.16,77,97,4.35,BR,1702069477
299,taltal,-25.4,-70.4833,17.05,84,60,5.52,CL,1702069220
300,qaqortoq,60.7167,-46.0333,1.7,61,100,5.73,GL,1702069478
301,sirte,31.2089,16.5887,17.45,53,100,4.29,LY,1702069478
302,kwang binh,17.4833,106.6,20.2,95,100,1.88,VN,1702069478
303,juneau,58.3019,-134.4197,3.01,100,100,5.04,US,1702069243
304,phitsanulok,16.9167,100.5,21.01,89,52,1.2,TH,1702069479
305,nikolayevsk-on-amure,53.1406,140.73,-10.14,96,100,0.8,RU,1702069479
306,lao cai,22.4833,103.95,22.1,98,100,0.97,VN,1702069479
307,westport,41.1415,-73.3579,8.75,70,76,1.34,US,1702069479
308,kamakwie,9.5,-12.2333,26.47,54,5,1.35,SL,1702069480
309,harstad,68.799,16.5293,-0.47,74,100,14.75,NO,1702069480
310,stettler,52.3168,-112.7186,-2.36,100,100,3.09,CA,1702069427
311,okola,4.0167,11.3833,22.25,94,54,1.89,CM,1702069480
312,sukhodol,53.9006,51.2117,-26.96,100,6,1.58,RU,1702069481
313,tommot,58.9564,126.2925,-31.3,96,100,3.24,RU,1702069481
314,zaysan,47.4667,84.8667,-12.48,88,100,0.99,KZ,1702069481
315,puerto aysen,-45.4,-72.7,16.81,72,58,2.78,CL,1702069423
316,rakitnoye,50.8389,35.8515,-4.52,95,100,6.45,RU,1702069482
317,ouddorp,51.8117,3.9347,8.99,89,100,10.55,NL,1702069482
318,port isabel,26.0734,-97.2086,28.05,73,75,8.75,US,1702069483
319,techiman,7.5862,-1.9414,26.49,43,100,0.97,GH,1702069389
320,ugoofaaru,5.6667,73.0,28.14,75,100,7.1,MV,1702069483
321,kanel,15.4916,-13.1763,29.03,13,7,4.4,SN,1702069483
322,yeed,4.55,43.0333,26.73,36,4,3.92,SO,1702069483
323,muang phonsavan,19.45,103.2167,14.98,98,31,0.84,LA,1702069484
324,rakops,-21.0167,24.3333,25.09,60,100,3.63,BW,1702069484
325,bubaque,11.2833,-15.8333,28.22,64,0,4.71,GW,1702069484
326,merizo village,13.2658,144.6691,26.31,95,92,5.97,GU,1702069484
327,agropoli,40.3469,14.9966,10.6,52,100,4.73,IT,1702069485
328,kununurra,-15.7667,128.7333,26.99,89,100,1.54,AU,1702069485
329,wakkanai,45.4094,141.6739,7.27,80,100,6.26,JP,1702069486
330,arbelaez,4.2725,-74.4151,24.93,54,70,1.1,CO,1702069486
331,ibitinga,-21.7578,-48.8289,32.25,41,17,4.06,BR,1702069318
332,tippi,7.2,35.45,17.52,85,4,1.68,ET,1702069486
333,cabedelo,-6.9811,-34.8339,28.37,73,90,4.79,BR,1702069243
334,mogocha,53.7333,119.7667,-24.29,83,100,2.51,RU,1702069487
335,bantay,17.5847,120.3892,27.44,73,9,2.03,PH,1702069487
336,tazacorte,28.629,-17.9293,19.54,71,20,4.63,ES,1702069487
337,ati,13.2154,18.3353,23.25,12,100,4.4,TD,1702069488
338,general jose de san martin,-26.5374,-59.3416,27.04,60,0,3.52,AR,1702069488
339,broken hill,-31.95,141.4333,30.8,19,62,7.34,AU,1702069359
340,chiredzi,-21.05,31.6667,24.26,44,8,2.41,ZW,1702069488
341,edd,13.9297,41.6925,27.67,51,57,2.55,ER,1702069489
342,kota belud,6.351,116.4305,26.53,79,96,2.73,MY,1702069489
343,bang saphan,11.2126,99.5117,23.2,91,34,0.89,TH,1702069489
344,atherton,53.5237,-2.4935,8.57,91,100,1.34,GB,1702069490
